kule
t;x;y;v
0,000000000E0;9,724657874E-1;4,573955532E1;
3,332222222E-2;1,118856693E0;4,570318625E1;1,040456145E1
6,664444444E-2;1,635479834E0;4,553651701E1;1,975891158E1
9,996666667E-2;2,366074480E0;4,528073254E1;2,747445134E1
1,332888889E-1;3,372313189E0;4,495682530E1;3,575507442E1
1,666111111E-1;4,636072437E0;4,455601714E1;4,303973765E1
1,999333333E-1;6,094598589E0;4,405313959E1;5,033100149E1
2,332555556E-1;7,818798255E0;4,349702628E1;5,890257026E1
2,665777778E-1;9,836838937E0;4,286763730E1;6,633242585E1
2,999000000E-1;1,205024302E1;4,221743467E1;7,406360486E1
3,332222222E-1;1,457565371E1;4,148668916E1;8,147910538E1
3,665444444E-1;1,727594770E1;4,074152164E1;8,476700045E1
3,998666667E-1;2,002421721E1;3,999431607E1;9,334180463E1
4,331888889E-1;2,329362745E1;3,916519773E1;1,014941943E2
4,665111111E-1;2,660013940E1;3,841024831E1;1,062799000E2
4,998333333E-1;3,021735226E1;3,767173651E1;1,132938802E2
5,331555556E-1;3,400667841E1;3,694333441E1;1,170514741E2
5,664777778E-1;3,787758560E1;3,619736172E1;1,194653853E2
5,999111111E-1;4,182637402E1;3,537724461E1;1,254039323E2
6,332333333E-1;4,605817185E1;3,442014473E1;1,326002967E2
6,665555556E-1;5,042124296E1;3,332247233E1;1,373679630E2
6,998777778E-1;5,491426658E1;3,210062729E1;1,453547842E2
7,332000000E-1;5,972849231E1;3,063643441E1;1,501180036E2
7,665222222E-1;6,452408796E1;2,931818726E1;1,579621438E2
7,998444444E-1;6,977003117E1;2,747549655E1;1,675889578E2
8,331666667E-1;7,527269981E1;2,628321325E1;1,648634276E2
8,664888889E-1;8,066712776E1;2,607102408E1;1,701646721E2
8,998111111E-1;8,660479757E1;2,672045671E1;1,669118599E2
9,331333333E-1;9,157600645E1;2,824683175E1;1,582169276E2
9,664555556E-1;9,643906319E1;3,052427644E1;1,498201592E2
9,997777778E-1;1,007067634E2;3,228702216E1;1,418855237E2
1,033100000E0;1,055311201E2;3,312200698E1;1,411192777E2
1,066422222E0;1,100665066E2;3,320667858E1;1,366212022E2
1,099744444E0;1,146341932E2;3,293256421E1;1,387458252E2
1,133066667E0;1,192565340E2;3,218505302E1;1,385353545E2
1,166388889E0;1,237152339E2;3,126648516E1;1,510476256E2
1,199711111E0;1,290962471E2;3,006039598E1;1,587438306E2
1,233033333E0;1,339956894E2;2,876932295E1;1,557216835E2
1,266355556E0;1,392547602E2;2,793738235E1;1,622387241E2
1,299677778E0;1,446879030E2;2,716227353E1;
