ring
t;x;y;v
0,000000000E0;2,820377192E0;4,701966647E1;
3,332229689E-2;3,000548708E0;4,701966647E1;5,406935679E0
6,664459378E-2;3,180720224E0;4,701966647E1;9,067706797E0
9,996689067E-2;3,541063256E0;4,674940920E1;1,576379092E1
1,332891876E-1;4,081577804E0;4,647915192E1;2,137278989E1
1,666114844E-1;4,892349626E0;4,629898041E1;2,693310755E1
1,999337813E-1;5,793207206E0;4,593863738E1;3,419646382E1
2,332560782E-1;7,054407817E0;4,557829434E1;3,901339210E1
2,665783751E-1;8,315608429E0;4,530803707E1;4,661032587E1
2,999006720E-1;1,002723783E1;4,467743676E1;5,129469573E1
3,332229689E-1;1,155869572E1;4,422700797E1;5,257880072E1
3,665452658E-1;1,336041088E1;4,359640767E1;5,648242465E1
3,998675627E-1;1,507204028E1;4,287572161E1;5,999628024E1
4,331898596E-1;1,723409847E1;4,260546433E1;7,082105407E1
4,665121564E-1;1,966641393E1;4,179469251E1;7,566088369E1
4,998344533E-1;2,200864364E1;4,098392069E1;7,613034559E1
5,331567502E-1;2,453104487E1;4,035332038E1;7,771000624E1
5,664790471E-1;2,705344609E1;3,981280583E1;8,271021161E1
5,998013440E-1;2,993619034E1;3,927229129E1;9,252221249E1
6,331236409E-1;3,308919187E1;3,855160522E1;9,868583416E1
6,664459378E-1;3,633227916E1;3,774083340E1;9,914763282E1
6,997682347E-1;3,957536645E1;3,729040461E1;9,941449315E1
7,330905315E-1;4,281845374E1;3,638954703E1;1,016320544E2
7,664128284E-1;4,615162678E1;3,566886097E1;1,095488402E2
7,997351253E-1;4,984514286E1;3,440766035E1;1,180892577E2
8,330574222E-1;5,371883045E1;3,350680278E1;1,177250828E2
8,663797191E-1;5,741234653E1;3,233568792E1;1,175697726E2
8,997020160E-1;6,119594836E1;3,116457307E1;1,291029737E2
9,330243129E-1;6,561015051E1;2,972320094E1;1,397786995E2
9,663466098E-1;7,002435265E1;2,819174305E1;1,344414741E2
9,996689067E-1;7,425838327E1;2,738097123E1;1,349704796E2
1,032991204E0;7,894284269E1;2,702062820E1;1,378834858E2
1,066313500E0;8,344713059E1;2,729088547E1;1,355580887E2
1,099635797E0;8,786133273E1;2,846200033E1;1,312296261E2
1,132958094E0;9,173502032E1;3,008354397E1;1,215057673E2
1,166280391E0;9,542853640E1;3,134474458E1;1,161026920E2
1,199713799E0;9,903196672E1;3,269603095E1;1,058635602E2
1,233036096E0;1,021849682E2;3,341671702E1;1,078171988E2
1,266358393E0;1,061487416E2;3,368697429E1;1,136180405E2
1,299680690E0;1,097521719E2;3,368697429E1;1,055132016E2
1,333002987E0;1,131754307E2;3,341671702E1;1,043990234E2
1,366325284E0;1,166887753E2;3,314645974E1;1,151118701E2
1,399647581E0;1,207426344E2;3,215551641E1;1,213025865E2
1,432969878E0;1,245262362E2;3,116457307E1;1,190293632E2
1,466292174E0;1,283999238E2;3,008354397E1;1,206682808E2
1,499614471E0;1,323636972E2;2,936285791E1;1,211518626E2
1,532936768E0;1,363274705E2;2,855208609E1;1,275581388E2
1,566259065E0;1,407416727E2;2,792148578E1;1,313409674E2
1,599581362E0;1,449757033E2;2,720079972E1;
